instance,status,our_objective,our_time_s,ref_tag,ref_objective,verdict
30n20b8,time-limit,0,60.62,=opt=,302.0,no-answer
50v-10,feasible,4644.909987,60.00,=opt=,3311.1799841,MISMATCH
CMS750_4,Timeout,nan,150.00,=opt=,252.0,no-answer
academictimetablesmall,time-limit,0,60.00,=opt=,0.0,no-answer
air05,feasible,26769,60.10,=opt=,26374.0,MISMATCH
app1-1,time-limit,0,60.42,=opt=,-3.0,no-answer
app1-2,time-limit,0,60.01,=opt=,-41.0,no-answer
assign1-5-8,feasible,213,60.00,=opt=,211.999999999998,near
atlanta-ip,time-limit,0,60.00,=opt=,90.009878614,no-answer
b1c1s1,feasible,76005.33254,92.85,=opt=,24544.25,MISMATCH
bab2,time-limit,0,60.01,=opt=,-357544.3115,no-answer
bab6,time-limit,0,60.01,=opt=,-284248.2307000001,no-answer
beasleyC3,feasible,876,60.02,=opt=,753.9999999999128,MISMATCH
binkar10_1,time-limit,0,60.03,=opt=,6741.38002393972,no-answer
blp-ar98,time-limit,0,60.03,=opt=,6205.2147104,no-answer
blp-ic98,time-limit,0,60.01,=opt=,4491.44758395,no-answer
bnatt400,time-limit,0,60.03,=opt=,1.0,no-answer
bnatt500,time-limit,0,60.21,=inf=,None,no-answer
bppc4-08,time-limit,0,65.09,=opt=,53.0,no-answer
brazil3,time-limit,0,60.00,=opt=,24.0,no-answer
buildingenergy,time-limit,0,60.03,=opt=,33283.853236,no-answer
cbs-cta,time-limit,0,67.96,=opt=,0.0,no-answer
chromaticindex1024-7,time-limit,0,60.01,=opt=,4.0,no-answer
chromaticindex512-7,time-limit,0,60.00,=opt=,4.0,no-answer
cmflsp50-24-8-8,time-limit,0,60.00,=opt=,55789389.886,no-answer
co-100,time-limit,0,60.01,=opt=,2639942.06,no-answer
cod105,time-limit,0,60.00,=opt=,-12.0,no-answer
comp07-2idx,time-limit,0,65.23,=opt=,6.0,no-answer
comp21-2idx,time-limit,0,60.00,=opt=,74.0,no-answer
cost266-UUE,feasible,28436896.06,60.25,=opt=,25148940.55999998,MISMATCH
cryptanalysiskb128n5obj14,time-limit,0,60.01,=inf=,None,no-answer
cryptanalysiskb128n5obj16,time-limit,0,60.01,=opt=,0.0,no-answer
csched007,time-limit,0,60.01,=opt=,350.9999999999955,no-answer
csched008,time-limit,0,90.52,=opt=,173.0,no-answer
cvs16r128-89,time-limit,0,60.00,=opt=,-97.0,no-answer
dano3_3,time-limit,0,60.04,=opt=,576.34463303,no-answer
dano3_5,time-limit,0,60.00,=opt=,576.9249159565619,no-answer
decomp2,feasible,-153,63.21,=opt=,-160.0,MISMATCH
drayage-100-23,time-limit,0,60.00,=opt=,103333.87407,no-answer
drayage-25-23,time-limit,0,60.00,=opt=,101282.647018,no-answer
dws008-01,time-limit,0,80.04,=opt=,37412.60458794508,no-answer
eil33-2,feasible,934.007916,60.00,=opt=,934.007915999999,matched
eilA101-2,time-limit,0,61.42,=opt=,880.9201079999999,no-answer
enlight_hard,time-limit,0,60.00,=opt=,37.0,no-answer
ex10,time-limit,0,60.34,=opt=,100.0,no-answer
ex9,time-limit,0,60.36,=opt=,81.0,no-answer
exp-1-500-5-5,feasible,116395,60.00,=opt=,65887.0,MISMATCH
fast0507,feasible,568,69.48,=opt=,174.0,MISMATCH
fastxgemm-n2r6s0t2,time-limit,0,137.08,=opt=,230.0,no-answer
fhnw-binpack4-4,time-limit,0,60.01,=inf=,None,no-answer
fhnw-binpack4-48,time-limit,0,60.48,=opt=,0.0,no-answer
fiball,time-limit,0,60.00,=opt=,138.0,no-answer
gen-ip002,feasible,-4750.756078,60.00,=opt=,-4783.733392,near
gen-ip054,feasible,6919.013517,52.97,=opt=,6840.96564179,MISMATCH
germanrr,error,0,18.27,=opt=,47095869.649,no-answer
gfd-schedulen180f7d50m30k18,time-limit,0,60.03,=opt=,1.0,no-answer
glass-sc,feasible,25,60.17,=opt=,23.0,MISMATCH
glass4,feasible,2850030550,60.00,=opt=,1200012599.972384,MISMATCH
gmu-35-40,time-limit,0,60.00,=opt=,-2406733.3688,no-answer
gmu-35-50,feasible,-2564103.603,60.00,=opt=,-2607958.33,MISMATCH
graph20-20-1rand,time-limit,0,135.96,=opt=,-9.0,no-answer
graphdraw-domain,time-limit,0,60.01,=opt=,19685.99997550038,no-answer
h80x6320d,time-limit,0,60.14,=opt=,6382.099048245999,no-answer
highschool1-aigio,time-limit,0,60.01,=opt=,0.0,no-answer
hypothyroid-k1,time-limit,0,86.65,=opt=,-2851.0,no-answer
ic97_potential,time-limit,0,60.02,=opt=,3941.99993090225,no-answer
icir97_tension,time-limit,0,60.00,=opt=,6375.0,no-answer
irish-electricity,time-limit,0,60.01,=opt=,3723497.591396,no-answer
irp,feasible,12161.52042,60.01,=opt=,12159.49283539698,near
istanbul-no-cutoff,time-limit,0,114.70,=opt=,204.08170701,no-answer
k1mushroom,time-limit,0,62.55,=opt=,-3288.0,no-answer
lectsched-5-obj,time-limit,0,60.00,=opt=,24.0,no-answer
leo1,time-limit,0,60.00,=opt=,404227536.16,no-answer
leo2,time-limit,0,60.00,=opt=,404077441.12,no-answer
lotsize,error,0,36.38,=opt=,1480195.0,no-answer
mad,feasible,0.7316,60.00,=opt=,0.0268,MISMATCH
map10,time-limit,0,60.02,=opt=,-495.0,no-answer
map16715-04,time-limit,0,60.02,=opt=,-111.0,no-answer
markshare2,feasible,61,60.51,=opt=,1.0,MISMATCH
markshare_4_0,feasible,4,19.72,=opt=,1.0,MISMATCH
mas74,feasible,18732.93029,60.00,=opt=,11801.18572,MISMATCH
mas76,feasible,40115.93379,60.00,=opt=,40005.05398999999,near
mc11,feasible,12724,60.01,=opt=,11688.99999999966,MISMATCH
mcsched,feasible,221748,60.02,=opt=,211913.0,MISMATCH
mik-250-20-75-4,feasible,-52033,60.00,=opt=,-52301.0,near
milo-v12-6-r2-40-1,time-limit,0,62.73,=opt=,326481.14282799,no-answer
momentum1,time-limit,0,60.36,=opt=,109143.4935,no-answer
mushroom-best,time-limit,0,60.00,=opt=,0.0553337612,no-answer
mzzv11,time-limit,0,60.00,=opt=,-21718.0,no-answer
mzzv42z,time-limit,0,60.14,=opt=,-20540.0,no-answer
n2seq36q,time-limit,0,61.61,=opt=,52200.0,no-answer
n3div36,feasible,538800,120.50,=opt=,130800.0,MISMATCH
n5-3,feasible,9500,60.01,=opt=,8104.999999993999,MISMATCH
neos-1122047,time-limit,0,60.00,=opt=,161.0,no-answer
neos-1171448,time-limit,0,60.00,=opt=,-309.0,no-answer
neos-1171737,time-limit,0,60.00,=opt=,-195.0,no-answer
neos-1354092,time-limit,0,60.02,=opt=,46.0,no-answer
neos-1445765,time-limit,0,60.03,=opt=,-17783.0,no-answer
neos-1456979,time-limit,0,123.80,=opt=,176.0,no-answer
neos-1582420,time-limit,0,60.08,=opt=,90.99999999999996,no-answer
neos-2075418-temuka,time-limit,0,60.05,=inf=,None,no-answer
neos-2657525-crna,time-limit,0,68.38,=opt=,1.810748,no-answer
neos-2746589-doon,time-limit,0,60.00,=opt=,2008.199999999999,no-answer
neos-2978193-inde,feasible,-2.388061686,60.02,=opt=,-2.38806169,matched
neos-2987310-joes,time-limit,0,60.00,=opt=,-607702988.3,no-answer
neos-3004026-krka,time-limit,0,65.77,=opt=,0.0,no-answer
neos-3024952-loue,feasible,50658,60.00,=opt=,26756.0,MISMATCH
neos-3046615-murg,feasible,3029,60.00,=opt=,1600.0,MISMATCH
neos-3083819-nubu,Timeout,nan,150.00,=opt=,6307996.0,no-answer
neos-3216931-puriri,time-limit,0,60.02,=opt=,71320.0,no-answer
neos-3381206-awhea,time-limit,0,60.03,=opt=,453.0,no-answer
neos-3402294-bobin,time-limit,0,117.56,=opt=,0.06724999999999949,no-answer
neos-3402454-bohle,time-limit,0,60.31,=inf=,None,no-answer
neos-3555904-turama,time-limit,0,60.01,=opt=,-34.7,no-answer
neos-3627168-kasai,time-limit,0,60.00,=opt=,988585.6199999998,no-answer
