instance,m,n,our_time_s,highs_time_s,our_objective,highs_objective,rel_gap,status,check
25fv47,821,1571,0.64,0.10,5501.845888,5501.845888,exact,optimal,exact
80bau3b,2262,9799,1.83,0.08,987224.1924,987224.1924,exact,optimal,exact
adlittle,56,97,0.00,0.00,225494.9632,225494.9632,exact,optimal,exact
afiro,27,32,0.00,0.00,-464.7531429,-464.7531429,exact,optimal,exact
agg,488,163,0.00,0.00,-35991767.29,-35991767.29,exact,optimal,exact
agg2,516,302,0.01,0.00,-20239252.36,-20239252.36,exact,optimal,exact
agg3,516,302,0.01,0.00,10312115.94,10312115.94,exact,optimal,exact
bandm,305,472,0.04,0.01,-158.6280185,-158.6280185,exact,optimal,exact
beaconfd,173,262,0.00,0.00,33592.48581,33592.48581,exact,optimal,exact
blend,74,83,0.00,0.00,-30.81214985,-30.81214985,exact,optimal,exact
bnl1,643,1175,0.15,0.01,1977.629562,1977.629562,exact,optimal,exact
bnl2,2324,3489,2.63,0.03,1811.23654,1811.23654,exact,optimal,exact
boeing1,351,384,0.02,0.01,-335.2135675,-335.2135675,exact,optimal,exact
boeing2,166,143,0.00,0.00,-315.018728,-315.018728,exact,optimal,exact
bore3d,233,315,0.00,0.00,1373.080394,1373.080394,exact,optimal,exact
brandy,220,249,0.02,0.00,1518.509896,1518.509896,exact,optimal,exact
capri,271,353,0.01,0.00,2690.012914,2690.012914,exact,optimal,exact
cre-a,3516,4067,1.04,0.04,23595407.06,23595407.06,exact,optimal,exact
cre-b,9648,72447,60.00,0.77,0,23129639.89,MISMATCH,time-limit,MISMATCH
cre-c,3068,3678,0.82,0.04,25275116.14,25275116.14,exact,optimal,exact
cre-d,8926,69980,60.01,0.46,0,24454969.76,MISMATCH,time-limit,MISMATCH
cycle,1903,2857,0.77,0.16,-5.226393025,-5.226393025,exact,optimal,exact
czprob,929,3523,0.16,0.02,2185196.699,2185196.699,exact,optimal,exact
d2q06c,2171,5167,27.98,0.44,122784.2108,122784.2108,exact,optimal,exact
d6cube,415,6184,60.00,0.08,0,315.4916667,MISMATCH,time-limit,MISMATCH
degen2,444,534,0.14,0.01,-1435.178,-1435.178,exact,optimal,exact
degen3,1503,1818,16.24,0.11,-987.294,-987.294,exact,optimal,exact
dfl001,6071,12230,60.00,3.75,0,11266396.05,MISMATCH,time-limit,MISMATCH
e226,223,282,0.01,0.00,-11.63892907,-11.63892907,exact,optimal,exact
etamacro,400,688,0.03,0.01,-755.7152281,-755.7152333,exact,optimal,exact
fffff800,524,854,0.05,0.01,555679.5648,555679.5648,exact,optimal,exact
finnis,497,614,0.03,0.00,172791.0656,172791.0656,exact,optimal,exact
fit1d,24,1026,0.03,0.01,-9146.378092,-9146.378092,exact,optimal,exact
fit1p,627,1677,0.13,0.03,9146.378092,9146.378092,exact,optimal,exact
fit2d,25,10500,4.02,0.09,-68464.29329,-68464.29329,exact,optimal,exact
fit2p,3000,13525,10.67,0.70,68464.29329,68464.29329,exact,optimal,exact
forplan,161,421,0.04,0.00,-664.2189613,-664.2189613,exact,optimal,exact
ganges,1309,1681,0.20,0.01,-109585.7361,-109585.7361,exact,optimal,exact
gfrd-pnc,616,1092,0.04,0.00,6902236,6902236,exact,optimal,exact
greenbea,2392,5405,3.56,0.15,-72555248.13,-72555248.13,exact,optimal,exact
greenbeb,2392,5405,2.06,0.23,-4302260.261,-4302260.261,exact,optimal,exact
grow15,300,645,0.02,0.02,-106870941.3,-106870941.3,exact,optimal,exact
grow22,440,946,0.06,0.05,-160834336.5,-160834336.5,exact,optimal,exact
grow7,140,301,0.00,0.01,-47787811.81,-47787811.81,exact,optimal,exact
israel,174,142,0.00,0.00,-896644.8219,-896644.8219,exact,optimal,exact
kb2,43,41,0.00,0.00,-1749.90013,-1749.90013,exact,optimal,exact
ken-07,2426,3602,0.46,0.01,-679520443.4,-679520443.4,exact,optimal,exact
ken-11,14694,21349,37.50,0.14,-6972382263,-6972382263,exact,optimal,exact
ken-13,28632,42659,60.00,0.53,0,-1.025739479e+10,MISMATCH,time-limit,MISMATCH
ken-18,105127,154699,60.00,6.01,0,-5.221702529e+10,MISMATCH,time-limit,MISMATCH
lotfi,153,308,0.01,0.01,-25.26470606,-25.26470606,exact,optimal,exact
maros,846,1443,0.11,0.03,-58063.7437,-58063.7437,exact,optimal,exact
maros-r7,3136,9408,6.61,0.50,1497185.166,1497185.166,exact,optimal,exact
modszk1,687,1620,0.52,0.01,320.6197291,320.6197291,exact,optimal,exact
nesm,662,2923,0.40,0.10,14076036.49,14076036.49,exact,optimal,exact
osa-07,1118,23949,0.27,0.16,535722.5173,535722.5173,exact,optimal,exact
osa-14,2337,52460,1.19,0.61,1106462.845,1106462.845,exact,optimal,exact
osa-30,4350,100024,4.93,2.47,2142139.873,2142139.873,exact,optimal,exact
osa-60,10280,232966,22.62,12.07,4044072.503,4044072.503,exact,optimal,exact
pds-02,2953,7535,0.68,0.05,2.885786201e+10,2.885786201e+10,exact,optimal,exact
pds-06,9881,28655,52.41,0.20,2.77610376e+10,2.77610376e+10,exact,optimal,exact
pds-10,16558,48763,60.00,0.64,0,2.672709498e+10,MISMATCH,time-limit,MISMATCH
pds-20,33874,105728,60.00,1.69,0,2.382165864e+10,MISMATCH,time-limit,MISMATCH
perold,625,1376,0.82,0.05,-9380.755278,-9380.755278,exact,optimal,exact
pilot,1441,3652,90.00,0.67,nan,-557.4897293,n/a,Timeout,n/a
pilot.ja,940,1988,3.88,0.06,-6113.12802,-6113.136466,ok,optimal,ok
pilot.we,722,2789,1.72,0.09,-2720107.533,-2720107.533,exact,optimal,exact
pilot4,410,1000,0.20,0.02,-2581.139259,-2581.139259,exact,optimal,exact
pilot87,2030,4883,65.69,2.79,0,301.7103473,MISMATCH,time-limit,MISMATCH
pilotnov,975,2172,1.23,0.10,-4497.276188,-4497.276188,exact,optimal,exact
qap12,3192,8856,60.01,65.50,0,522.8943506,MISMATCH,time-limit,MISMATCH
instance,m,n,our_time_s,highs_time_s,our_objective,highs_objective,rel_gap,status,check
qap15,6330,22275,60.31,300.00,0,1030.785974,MISMATCH,time-limit,MISMATCH
qap8,912,1632,25.64,0.32,203.5,203.5,exact,optimal,exact
recipe,91,180,0.00,0.00,-266.616,-266.616,exact,optimal,exact
sc105,105,103,0.00,0.00,-52.20206121,-52.20206121,exact,optimal,exact
sc205,205,203,0.00,0.00,-52.20206121,-52.20206121,exact,optimal,exact
sc50a,50,48,0.00,0.00,-64.57507706,-64.57507706,exact,optimal,exact
sc50b,50,48,0.00,0.00,-70,-70,exact,optimal,exact
scagr25,471,500,0.02,0.00,-14753433.06,-14753433.06,exact,optimal,exact
scagr7,129,140,0.00,0.00,-2331389.824,-2331389.824,exact,optimal,exact
scfxm1,330,457,0.02,0.00,18416.75903,18416.75903,exact,optimal,exact
scfxm2,660,914,0.07,0.01,36660.26156,36660.26156,exact,optimal,exact
scfxm3,990,1371,0.12,0.02,54901.25455,54901.25455,exact,optimal,exact
scorpion,388,358,0.01,0.00,1878.124823,1878.124823,exact,optimal,exact
scrs8,490,1169,0.03,0.00,904.2969538,904.2969538,exact,optimal,exact
scsd1,77,760,0.01,0.00,8.666666674,8.666666674,exact,optimal,exact
scsd6,147,1350,0.04,0.00,50.50000008,50.50000008,exact,optimal,exact
scsd8,397,2750,0.16,0.02,904.9999999,904.9999999,exact,optimal,exact
sctap1,300,480,0.01,0.00,1412.25,1412.25,exact,optimal,exact
sctap2,1090,1880,0.10,0.01,1724.807143,1724.807143,exact,optimal,exact
sctap3,1480,2480,0.15,0.01,1424,1424,exact,optimal,exact
seba,515,1028,0.02,0.00,15711.6,15711.6,exact,optimal,exact
share1b,117,225,0.00,0.00,-76589.31858,-76589.31858,exact,optimal,exact
share2b,96,79,0.00,0.00,-415.7322407,-415.7322407,exact,optimal,exact
shell,536,1775,0.03,0.01,1208825346,1208825346,exact,optimal,exact
ship04l,402,2118,0.03,0.00,1793324.538,1793324.538,exact,optimal,exact
ship04s,402,1458,0.02,0.00,1798714.7,1798714.7,exact,optimal,exact
ship08l,778,4283,0.07,0.01,1909055.211,1909055.211,exact,optimal,exact
ship08s,778,2387,0.04,0.01,1920098.211,1920098.211,exact,optimal,exact
ship12l,1151,5427,0.18,0.01,1470187.919,1470187.919,exact,optimal,exact
ship12s,1151,2763,0.09,0.01,1489236.134,1489236.134,exact,optimal,exact
sierra,1227,2036,0.07,0.01,15394362.18,15394362.18,exact,optimal,exact
stair,356,467,0.03,0.01,-251.2669512,-251.2669512,exact,optimal,exact
standata,359,1075,0.00,0.00,1257.6995,1257.6995,exact,optimal,exact
standgub,361,1184,0.00,0.00,1257.6995,1257.6995,exact,optimal,exact
standmps,467,1075,0.01,0.00,1406.0175,1406.0175,exact,optimal,exact
stocfor1,117,111,0.00,0.00,-41131.97622,-41131.97622,exact,optimal,exact
stocfor2,2157,2031,0.26,0.01,-39024.40854,-39024.40854,exact,optimal,exact
stocfor3,16675,15695,17.35,0.19,-39976.78394,-39976.78394,exact,optimal,exact
truss,1000,8806,60.00,1.61,0,458815.8472,MISMATCH,time-limit,MISMATCH
tuff,333,587,0.02,0.00,0.2921477651,0.2921477651,exact,optimal,exact
vtp.base,198,203,0.00,0.00,129831.4625,129831.4625,exact,optimal,exact
wood1p,244,2594,0.12,0.04,1.442902412,1.442902412,exact,optimal,exact
