instance,m,n,solver,status,objective,ms,check
adlittle,56,97,HiGHS,Optimal,225494.9632,7.6,ref
adlittle,56,97,IGAOS-simplex,optimal,225494.9632,13.4,exact
afiro,27,32,HiGHS,Optimal,-464.7531429,0.6,ref
afiro,27,32,IGAOS-simplex,optimal,-464.7531429,0.5,exact
agg,488,163,HiGHS,Optimal,-35991767.29,2.3,ref
agg,488,163,IGAOS-simplex,optimal,-35991767.29,748.7,exact
agg2,516,302,HiGHS,Optimal,-20239252.36,3.4,ref
agg2,516,302,IGAOS-simplex,optimal,-20239252.36,920.9,exact
agg3,516,302,HiGHS,Optimal,10312115.94,3.6,ref
agg3,516,302,IGAOS-simplex,optimal,10312115.94,1039.3,exact
bandm,305,472,HiGHS,Optimal,-158.6280185,6.2,ref
bandm,305,472,IGAOS-simplex,optimal,-158.6280185,3431.8,exact
beaconfd,173,262,HiGHS,Optimal,33592.48581,1.6,ref
beaconfd,173,262,IGAOS-simplex,optimal,33592.48581,86.7,exact
blend,74,83,HiGHS,Optimal,-30.81214985,1.0,ref
blend,74,83,IGAOS-simplex,optimal,-30.81214985,39.2,exact
bnl1,643,1175,HiGHS,Optimal,1977.629562,15.8,ref
bnl1,643,1175,IGAOS-simplex,time-limit,0,20005.1,MISMATCH
boeing1,351,384,HiGHS,Optimal,-335.2135675,7.1,ref
boeing1,351,384,IGAOS-simplex,optimal,-335.2135675,4135.9,exact
boeing2,166,143,HiGHS,Optimal,-315.018728,1.7,ref
boeing2,166,143,IGAOS-simplex,optimal,-315.018728,214.0,exact
bore3d,233,315,HiGHS,Optimal,1373.080394,1.3,ref
bore3d,233,315,IGAOS-simplex,optimal,1373.080394,1413.6,exact
brandy,220,249,HiGHS,Optimal,1518.509896,3.3,ref
brandy,220,249,IGAOS-simplex,optimal,1518.509896,1302.7,exact
capri,271,353,HiGHS,Optimal,2690.012914,2.3,ref
capri,271,353,IGAOS-simplex,optimal,2690.012914,1497.1,exact
d6cube,415,6184,HiGHS,Optimal,315.4916667,80.7,ref
d6cube,415,6184,IGAOS-simplex,error,0,18961.6,MISMATCH
degen2,444,534,HiGHS,Optimal,-1435.178,8.8,ref
degen2,444,534,IGAOS-simplex,time-limit,0,20017.1,MISMATCH
e226,223,282,HiGHS,Optimal,-11.63892907,4.9,ref
e226,223,282,IGAOS-simplex,optimal,-18.75192907,1557.4,MISMATCH
etamacro,400,688,HiGHS,Optimal,-755.7152333,6.3,ref
etamacro,400,688,IGAOS-simplex,optimal,-755.7152314,6215.5,exact
fffff800,524,854,HiGHS,Optimal,555679.5648,6.7,ref
fffff800,524,854,IGAOS-simplex,optimal,555679.5648,14088.5,exact
finnis,497,614,HiGHS,Optimal,172791.0656,3.5,ref
finnis,497,614,IGAOS-simplex,optimal,172791.0656,13448.7,exact
fit1d,24,1026,HiGHS,Optimal,-9146.378092,7.1,ref
fit1d,24,1026,IGAOS-simplex,optimal,-9146.378092,386.0,exact
fit1p,627,1677,HiGHS,Optimal,9146.378092,28.6,ref
fit1p,627,1677,IGAOS-simplex,time-limit,0,20003.6,MISMATCH
fit2d,25,10500,HiGHS,Optimal,-68464.29329,94.1,ref
fit2d,25,10500,IGAOS-simplex,time-limit,0,20001.7,MISMATCH
forplan,161,421,HiGHS,Optimal,-664.2189613,3.7,ref
forplan,161,421,IGAOS-simplex,error,0,15705.7,MISMATCH
gfrd-pnc,616,1092,HiGHS,Optimal,6902236,4.2,ref
gfrd-pnc,616,1092,IGAOS-simplex,optimal,6902236,7864.9,exact
grow15,300,645,HiGHS,Optimal,-106870941.3,26.6,ref
grow15,300,645,IGAOS-simplex,optimal,-106870941.3,1415.1,exact
grow22,440,946,HiGHS,Optimal,-160834336.5,54.8,ref
grow22,440,946,IGAOS-simplex,optimal,-160834336.5,4577.8,exact
grow7,140,301,HiGHS,Optimal,-47787811.81,7.3,ref
grow7,140,301,IGAOS-simplex,optimal,-47787811.81,145.5,exact
israel,174,142,HiGHS,Optimal,-896644.8219,2.3,ref
israel,174,142,IGAOS-simplex,optimal,-896644.8219,362.4,exact
kb2,43,41,HiGHS,Optimal,-1749.90013,0.6,ref
kb2,43,41,IGAOS-simplex,optimal,-1749.90013,4.9,exact
lotfi,153,308,HiGHS,Optimal,-25.26470606,1.6,ref
lotfi,153,308,IGAOS-simplex,optimal,-25.26470606,287.5,exact
modszk1,687,1620,HiGHS,Optimal,320.6197291,9.0,ref
modszk1,687,1620,IGAOS-simplex,time-limit,0,20015.0,MISMATCH
nesm,662,2923,HiGHS,Optimal,14076036.49,101.9,ref
nesm,662,2923,IGAOS-simplex,time-limit,0,20000.3,MISMATCH
perold,625,1376,HiGHS,Optimal,-9380.755278,37.5,ref
perold,625,1376,IGAOS-simplex,unbounded,0,121.5,MISMATCH
pilot4,410,1000,HiGHS,Optimal,-2581.139259,19.3,ref
pilot4,410,1000,IGAOS-simplex,unbounded,0,1760.7,MISMATCH
recipe,91,180,HiGHS,Optimal,-266.616,0.8,ref
recipe,91,180,IGAOS-simplex,optimal,-266.616,9.9,exact
sc105,105,103,HiGHS,Optimal,-52.20206121,1.0,ref
sc105,105,103,IGAOS-simplex,optimal,-52.20206121,36.1,exact
sc205,205,203,HiGHS,Optimal,-52.20206121,1.5,ref
sc205,205,203,IGAOS-simplex,optimal,-52.20206121,286.2,exact
sc50a,50,48,HiGHS,Optimal,-64.57507706,0.5,ref
sc50a,50,48,IGAOS-simplex,optimal,-64.57507706,3.7,exact
sc50b,50,48,HiGHS,Optimal,-70,0.5,ref
sc50b,50,48,IGAOS-simplex,optimal,-70,4.1,exact
scagr25,471,500,HiGHS,Optimal,-14753433.06,4.5,ref
scagr25,471,500,IGAOS-simplex,optimal,-14753433.06,7121.3,exact
scagr7,129,140,HiGHS,Optimal,-2331389.824,1.8,ref
scagr7,129,140,IGAOS-simplex,optimal,-2331389.824,96.2,exact
scfxm1,330,457,HiGHS,Optimal,18416.75903,5.2,ref
scfxm1,330,457,IGAOS-simplex,optimal,18416.75903,2163.4,exact
scfxm2,660,914,HiGHS,Optimal,36660.26156,12.1,ref
scfxm2,660,914,IGAOS-simplex,optimal,36660.26156,16972.2,exact
scorpion,388,358,HiGHS,Optimal,1878.124823,2.2,ref
scorpion,388,358,IGAOS-simplex,optimal,1878.124823,1377.5,exact
scrs8,490,1169,HiGHS,Optimal,904.2969538,5.5,ref
scrs8,490,1169,IGAOS-simplex,optimal,904.2969538,7532.8,exact
scsd1,77,760,HiGHS,Optimal,8.666666674,1.5,ref
scsd1,77,760,IGAOS-simplex,error,0,157.5,MISMATCH
scsd6,147,1350,HiGHS,Optimal,50.50000008,4.8,ref
scsd6,147,1350,IGAOS-simplex,error,0,2874.5,MISMATCH
scsd8,397,2750,HiGHS,Optimal,904.9999999,27.3,ref
scsd8,397,2750,IGAOS-simplex,time-limit,0,20000.6,MISMATCH
sctap1,300,480,HiGHS,Optimal,1412.25,3.6,ref
sctap1,300,480,IGAOS-simplex,optimal,1412.25,849.2,exact
seba,515,1028,HiGHS,Optimal,15711.6,2.7,ref
seba,515,1028,IGAOS-simplex,optimal,15711.6,4016.7,exact
share1b,117,225,HiGHS,Optimal,-76589.31858,1.9,ref
share1b,117,225,IGAOS-simplex,optimal,-76589.31858,141.2,exact
share2b,96,79,HiGHS,Optimal,-415.7322407,1.3,ref
share2b,96,79,IGAOS-simplex,optimal,-415.7322407,35.1,exact
shell,536,1775,HiGHS,Optimal,1208825346,7.2,ref
shell,536,1775,IGAOS-simplex,optimal,1208825346,5073.4,exact
ship04l,402,2118,HiGHS,Optimal,1793324.538,5.2,ref
ship04l,402,2118,IGAOS-simplex,optimal,1793324.538,2474.8,exact
ship04s,402,1458,HiGHS,Optimal,1798714.7,3.6,ref
ship04s,402,1458,IGAOS-simplex,optimal,1798714.7,1192.3,exact
stair,356,467,HiGHS,Optimal,-251.2669512,9.1,ref
stair,356,467,IGAOS-simplex,optimal,-251.2669512,3617.8,exact
standata,359,1075,HiGHS,Optimal,1257.6995,2.6,ref
standata,359,1075,IGAOS-simplex,optimal,1257.6995,284.6,exact
standgub,361,1184,HiGHS,Optimal,1257.6995,2.7,ref
standgub,361,1184,IGAOS-simplex,optimal,1257.6995,291.5,exact
standmps,467,1075,HiGHS,Optimal,1406.0175,3.1,ref
standmps,467,1075,IGAOS-simplex,optimal,1406.0175,1584.5,exact
stocfor1,117,111,HiGHS,Optimal,-41131.97622,1.1,ref
stocfor1,117,111,IGAOS-simplex,optimal,-41131.97622,26.9,exact
tuff,333,587,HiGHS,Optimal,0.2921477651,4.9,ref
tuff,333,587,IGAOS-simplex,error,0,482.7,MISMATCH
vtp.base,198,203,HiGHS,Optimal,129831.4625,0.8,ref
vtp.base,198,203,IGAOS-simplex,optimal,129831.4625,786.8,exact
wood1p,244,2594,HiGHS,Optimal,1.442902412,41.3,ref
wood1p,244,2594,IGAOS-simplex,error,0,355.2,MISMATCH
# 2026-08-28 rerun after false-ray fix + obj_const fix (commits 4c49d09..): pilot4 unbounded->optimal exact; e226 objective corrected by +7.113 obj_const
pilot4,410,1000,IGAOS-simplex,optimal,-2581.139259,29418.0,exact
e226,223,289,IGAOS-simplex,optimal,-11.63892907,1441.0,exact
